"","X","polyname","RUCC","County","VAM","year","state","state.low","county.low","fips","colorID","color"
"10248",10248,"ohio,logan",7,"Logan County",139,1947,"Ohio","ohio","logan county",39091,3,"#E50840"
"10249",10249,"ohio,lorain",3,"Lorain County",NA,1958,"Ohio","ohio","lorain county",39093,NA,NA
"10250",10250,"ohio,lorain",3,"Lorain County",888,1947,"Ohio","ohio","lorain county",39093,14,"#2A08FB"
"10251",10251,"ohio,lorain",1,"Lorain County",576,1929,"Ohio","ohio","lorain county",39093,9,"#951DF1"
"10252",10252,"ohio,lorain",3,"Lorain County",NA,1954,"Ohio","ohio","lorain county",39093,NA,NA
"10253",10253,"ohio,lorain",3,"Lorain County",NA,1963,"Ohio","ohio","lorain county",39093,NA,NA
"10254",10254,"ohio,lucas",2,"Lucas County",NA,1958,"Ohio","ohio","lucas county",39095,NA,NA
"10255",10255,"ohio,lucas",2,"Lucas County",612,1929,"Ohio","ohio","lucas county",39095,9,"#951DF1"
"10256",10256,"ohio,lucas",2,"Lucas County",NA,1954,"Ohio","ohio","lucas county",39095,NA,NA
"10257",10257,"ohio,lucas",2,"Lucas County",NA,1963,"Ohio","ohio","lucas county",39095,NA,NA
